1,1,head
2,2,head
3,3,head
4,5,head
5,7,head
6,8,head
7,9,head
8,16,head
9,21,head
10,22,head
11,25,head
12,27,head
13,35,head
14,48,head
15,52,head
16,53,head
17,54,head
18,61,head
19,65,head
20,103,head
21,111,head
22,122,head
23,123,head
24,126,head
25,132,head
26,183,head
27,185,head
28,195,head
29,234,head
30,244,head
31,249,head
32,252,head
33,253,head
34,256,head
35,263,head
36,265,head
37,267,head
38,271,head
39,273,head
40,280,head
41,287,head
42,289,head
43,290,head
44,292,head
45,294,head
46,295,head
47,297,head
48,299,head
49,300,head
50,301,head
51,302,head
52,303,head
53,304,head
54,306,head
55,316,head
56,321,head
57,345,head
58,346,head
59,347,head
60,349,head
61,352,head
62,360,head
63,361,head
64,362,head
65,366,head
66,368,head
67,372,head
68,381,head
69,382,head
70,385,head
71,388,head
72,389,head
73,395,head
74,396,head
75,403,head
76,409,head
77,411,head
78,412,head
79,419,head
80,474,head
81,481,head
82,483,head
83,485,head
84,487,head
85,489,head
86,502,head
87,506,head
88,509,head
89,510,head
90,557,head
91,558,head
92,563,head
93,567,head
94,573,head
95,576,head
96,611,head
97,614,head
98,628,head
99,658,head
100,659,head
101,662,head
102,665,head
103,666,head
104,668,head
105,675,head
106,680,head
107,682,head
108,684,head
109,685,head
110,703,head
111,706,head
112,732,head
113,747,head
114,751,head
115,759,head
116,767,head
117,777,head
118,781,head
119,786,head
120,793,head
121,801,head
122,810,head
123,827,head
124,833,head
125,885,head
126,886,head
127,892,head
128,896,head
129,899,head
130,913,head
131,923,head
132,924,head
133,930,head
134,937,head
135,943,head
136,945,head
137,947,head
138,957,head
139,965,head
140,1021,head
141,1022,head
142,1052,head
143,1055,head
144,1056,head
145,1057,head
146,1058,head
147,1059,head
148,1077,head
149,1079,head
150,1080,head
151,1088,head
152,1095,head
153,1103,head
154,1105,head
155,1108,head
156,1148,head
157,1152,head
158,1158,head
159,1160,head
